,mean,ci1,ci2
STD_diagonal_aec_theta___rf,0.425171073,0.304439161,0.537397519
STD_diagonal_aec_alpha___krr,0.438676431,0.32795059,0.536769463
IND_diagonal_aec_theta___xgb,0.396139584,0.26817208,0.513780085
STD_diagonal_dwpli_theta___rf,0.394241464,0.269830377,0.505437978
IND_diagonal_aec_alpha___enet,0.377365713,0.256882169,0.483416068
IND_diagonal_aec_beta___pls,0.346358869,0.217842834,0.466433311
STD_diagonal_aec_beta___pls,0.337779285,0.209290568,0.457683136
STD_diagonal_dwpli_alpha___xgb,0.325422834,0.183161517,0.457484012
IND_diagonal_dwpli_theta___xgb,0.33242307,0.213896893,0.443670557
IND_diagonal_dwpli_alpha___enet,0.307212178,0.185994748,0.420259123
STD_diagonal_dwpli_delta___xgb,0.270788407,0.136003763,0.397306682
STD_diagonal_dwpli_beta___rf,0.245512828,0.104332176,0.379110122
STD_diagonal_aec_delta___rf,0.223464487,0.080423815,0.363170281
IND_diagonal_aec_delta___enet,0.287411066,0.164018452,0.404464079
IND_diagonal_dwpli_gamma1___xgb,0.210451978,0.087317949,0.328366053
IND_diagonal_dwpli_beta___xgb,0.192836801,0.044219296,0.332635767
IND_diagonal_dwpli_gamma2___rf,0.156726188,0.024155918,0.285833481
STD_diagonal_dwpli_gamma1___rf,0.14075693,0.003214383,0.268244589
IND_diagonal_aec_gamma2___enet,0.143262594,-0.047631044,0.308884227
STD_diagonal_aec_gamma1___xgb,0.085047995,-0.054281602,0.221990923
STD_diagonal_dwpli_gamma2___xgb,0.135475358,-0.003453748,0.273104965
STD_diagonal_aec_gamma2___enet,0.014110767,-0.130483377,0.162119184
IND_diagonal_aec_gamma1___rf,0.025350633,-0.109370352,0.165056081
IND_diagonal_dwpli_delta___enet,-0.066382201,-0.193596663,0.0507049
